iter	Passed	Remaining
0	239	313117
1	326	213949
2	416	181454
3	502	164286
4	592	154692
5	683	148712
6	772	143936
7	860	140124
8	947	137097
9	1036	134879
10	1126	133094
11	1226	132736
12	1325	132329
13	1413	130932
14	1503	129940
15	1592	128895
16	1681	127996
17	1769	127108
18	1856	126274
19	1944	125490
20	2030	124757
21	2121	124327
22	2209	123742
23	2297	123176
24	2384	122676
25	2472	122182
26	2557	121624
27	2643	121130
28	2728	120636
29	2813	120157
30	2901	119793
31	2988	119437
32	3077	119164
33	3163	118824
34	3252	118583
35	3342	118365
36	3428	118066
37	3517	117842
38	3602	117507
39	3689	117247
40	3778	117047
41	3870	116932
42	3961	116812
43	4049	116614
44	4140	116496
45	4229	116317
46	4315	116071
47	4402	115846
48	4489	115635
49	4578	115479
50	4666	115286
51	4753	115098
52	4841	114908
53	4932	114820
54	5024	114749
55	5110	114537
56	5196	114325
57	5283	114151
58	5374	114057
59	5465	113947
60	5553	113793
61	5638	113579
62	5723	113386
63	5810	113212
64	5896	113036
65	5987	112942
66	6084	112975
67	6174	112859
68	6260	112693
69	6349	112561
70	6438	112445
71	6524	112278
72	6609	112094
73	6695	111927
74	6780	111748
75	6867	111600
76	6952	111420
77	7039	111270
78	7134	111256
79	7226	111205
80	7314	111065
81	7405	110999
82	7501	110979
83	7590	110869
84	7683	110821
85	7779	110815
86	7873	110767
87	7964	110693
88	8053	110575
89	8142	110461
90	8230	110344
91	8319	110227
92	8409	110142
93	8500	110048
94	8590	109959
95	8677	109830
96	8767	109732
97	8855	109605
98	8940	109459
99	9027	109325
100	9114	109188
101	9199	109035
102	9285	108896
103	9370	108751
104	9456	108619
105	9544	108499
106	9643	108512
107	9736	108454
