=== D-фичи: доля единиц и структура ===
D1: доля 1 = 0.0316 (  286 дней), серий единиц=  286, медиана длины серии=1, медиана паузы=30
D2: доля 1 = 0.0316 (  286 дней), серий единиц=  286, медиана длины серии=1, медиана паузы=30
D3: доля 1 = 0.0479 (  433 дней), серий единиц=  433, медиана длины серии=1, медиана паузы=20
D4: доля 1 = 0.5753 ( 5205 дней), серий единиц=   37, медиана длины серии=145, медиана паузы=107
D5: доля 1 = 0.1908 ( 1726 дней), серий единиц=  432, медиана длины серии=4, медиана паузы=17
D6: доля 1 = -0.2382 (-2155 дней), серий единиц=    0, медиана длины серии=0, медиана паузы=16
D7: доля 1 = 0.0458 (  414 дней), серий единиц=  414, медиана длины серии=1, медиана паузы=19
D8: доля 1 = 0.1429 ( 1293 дней), серий единиц=  431, медиана длины серии=3, медиана паузы=18
D9: доля 1 = 0.1432 ( 1296 дней), серий единиц=  432, медиана длины серии=3, медиана паузы=18

=== попарные пересечения (доля совместных единиц / доля 1 у строки) ===
       D1     D2     D3     D4     D5     D6     D7     D8     D9
D1  1.000  1.000  0.042  0.591  0.220 -0.217  0.007  0.164  0.136
D2  1.000  1.000  0.042  0.591  0.220 -0.217  0.007  0.164  0.136
D3  0.028  0.028  1.000  0.589  0.007 -0.035  0.000  0.005  0.002
D4  0.032  0.032  0.049  1.000  0.193 -0.241  0.046  0.145  0.145
D5  0.037  0.037  0.002  0.583  1.000  0.000  0.080  0.499  0.501
D6  0.029  0.029  0.007  0.582 -0.000 -1.000  0.001 -0.000 -0.000
D7  0.005  0.005  0.000  0.575  0.333 -0.005  1.000  0.068  0.478
D8  0.036  0.036  0.002  0.582  0.667  0.000  0.022  1.000  0.000
D9  0.030  0.030  0.001  0.583  0.667  0.000  0.153  0.000  1.000

=== первые 60 дней, паттерн D1..D9 ===
 date_id  D1  D2  D3  D4  D5  D6  D7  D8  D9
       0   0   0   0   1   1   0   0   0   1
       1   0   0   0   1   1   0   0   0   1
       2   0   0   0   1   0   0   0   0   1
       3   0   0   0   1   0   0   0   0   0
       4   0   0   0   1   0   0   0   0   0
       5   0   0   0   1   0   0   0   0   0
       6   0   0   0   1   0   0   0   0   0
       7   0   0   0   1   0   0   0   0   0
       8   0   0   0   1   0   0   0   0   0
       9   0   0   0   1   0   0   0   0   0
      10   0   0   0   1   0   0   0   0   0
      11   0   0   0   1   0   0   0   0   0
      12   0   0   0   1   0   0   0   0   0
      13   0   0   0   1   0   0   0   0   0
      14   0   0   0   1   0  -1   0   0   0
      15   0   0   0   1   0  -1   0   0   0
      16   0   0   0   1   0  -1   0   0   0
      17   0   0   0   1   0  -1   0   0   0
      18   0   0   0   1   0  -1   0   0   0
      19   0   0   0   1   0   0   0   1   0
      20   0   0   0   1   1   0   0   1   0
      21   0   0   0   1   1   0   0   1   0
      22   0   0   0   1   1   0   0   0   1
      23   0   0   0   1   1   0   0   0   1
      24   0   0   0   1   0   0   0   0   1
      25   1   1   0   1   0   0   0   0   0
      26   0   0   0   1   0   0   0   0   0
      27   0   0   0   1   0   0   0   0   0
      28   0   0   0   1   0   0   0   0   0
      29   0   0   0   1   0   0   0   0   0
      30   0   0   0   1   0   0   0   0   0
      31   0   0   0   1   0   0   0   0   0
      32   0   0   0   1   0   0   0   0   0
      33   0   0   0   1   0  -1   0   0   0
      34   0   0   0   1   0  -1   0   0   0
      35   0   0   0   1   0  -1   0   0   0
      36   0   0   0   1   0  -1   0   0   0
      37   0   0   0   1   0  -1   0   0   0
      38   0   0   0   1   0   0   0   1   0
      39   0   0   0   1   1   0   0   1   0
      40   0   0   0   1   1   0   0   1   0
      41   0   0   0   1   1   0   0   0   1
      42   0   0   0   1   1   0   0   0   1
      43   0   0   0   1   0   0   0   0   1
      44   0   0   0   1   0   0   0   0   0
      45   0   0   0   1   0   0   0   0   0
      46   0   0   0   1   0   0   0   0   0
      47   0   0   0   1   0   0   0   0   0
      48   0   0   0   1   0   0   0   0   0
      49   0   0   0   1   0   0   0   0   0
      50   0   0   0   1   0   0   0   0   0
      51   0   0   0   1   0   0   0   0   0
      52   0   0   0   1   0   0   0   0   0
      53   0   0   0   1   0   0   0   0   0
      54   0   0   0   1   0   0   0   0   0
      55   0   0   0   1   0  -1   0   0   0
      56   0   0   0   1   0  -1   0   0   0
      57   0   0   0   1   0  -1   0   0   0
      58   1   1   0   1   0  -1   0   0   0
      59   0   0   0   1   0  -1   0   0   0

=== средний forward_returns при D=1 vs D=0 (годовых, %) ===
D1: D=1 ->   61.63%   D=0 ->   10.22%   разница   51.42 п.п.
D2: D=1 ->   61.63%   D=0 ->   10.22%   разница   51.42 п.п.
D3: D=1 ->   18.89%   D=0 ->   11.49%   разница    7.40 п.п.
D4: D=1 ->   15.67%   D=0 ->    6.65%   разница    9.02 п.п.
D5: D=1 ->   20.96%   D=0 ->    9.69%   разница   11.27 п.п.
D6: D=1 ->     nan%   D=0 ->   14.22%   разница     nan п.п.
D7: D=1 ->   23.67%   D=0 ->   11.28%   разница   12.40 п.п.
D8: D=1 ->   27.97%   D=0 ->    9.15%   разница   18.82 п.п.
D9: D=1 ->   12.31%   D=0 ->   11.77%   разница    0.54 п.п.
